variant,seed,n_total,accuracy_all
none,1,37,0.5135135135135135
none,2,37,0.5675675675675675
none,3,37,0.3783783783783784
none,4,37,0.4594594594594595
none,5,37,0.5675675675675675
oracle,1,37,0.5135135135135135
oracle,2,37,0.5135135135135135
oracle,3,37,0.4864864864864865
oracle,4,37,0.4594594594594595
oracle,5,37,0.4594594594594595
model,1,37,0.5405405405405406
model,2,37,0.4594594594594595
model,3,37,0.4594594594594595
model,4,37,0.4864864864864865
model,5,37,0.5405405405405406
