trial_type,memory_mode,n,accuracy,parse_rate
action_question,none,3,0.3333333333333333,1.0
attribution_question,none,3,0.0,1.0
emotion_reasoning_question,none,7,0.8571428571428571,1.0
false_belief_question,none,13,0.7692307692307693,1.0
reality_check_question,none,10,0.3,1.0
reference_question,none,1,1.0,1.0
action_question,oracle,3,0.6666666666666666,1.0
attribution_question,oracle,3,0.0,1.0
emotion_reasoning_question,oracle,7,0.42857142857142855,1.0
false_belief_question,oracle,13,0.6923076923076923,1.0
reality_check_question,oracle,10,0.3,1.0
reference_question,oracle,1,0.0,1.0
action_question,model,3,0.0,1.0
attribution_question,model,3,0.0,1.0
emotion_reasoning_question,model,7,0.7142857142857143,1.0
false_belief_question,model,13,0.3076923076923077,1.0
reality_check_question,model,10,0.1,1.0
reference_question,model,1,0.0,1.0
