family,trial_type,none_mean,state_model_mean,delta
tom_deception_reality,reality_check_question,0.5333333333333333,0.3333333333333333,-0.2
tom_reality_known,false_belief_question,1.0,0.8,-0.19999999999999996
tom_moral_reasoning,false_belief_question,0.8666666666666666,0.6666666666666666,-0.19999999999999996
tom_second_order,false_belief_question,0.76,0.64,-0.12
tom_deception_emotion,emotion_reasoning_question,0.3,0.2,-0.09999999999999998
tom_reference_emotion,emotion_reasoning_question,0.5,0.4,-0.09999999999999998
tom_reference_reference,reference_question,0.2,0.2,0.0
tom_second_order,reality_check_question,1.0,1.0,0.0
ha_bump,attribution_question,0.0,0.0,0.0
ha_bounce,attribution_question,0.4,0.4,0.0
ha_knock,attribution_question,0.0,0.0,0.0
tom_moral_reasoning,reality_check_question,0.4,0.5,0.09999999999999998
tom_interpretation_reality,reality_check_question,0.2,0.3,0.09999999999999998
tom_interpretation_emotion,emotion_reasoning_question,0.8,1.0,0.19999999999999996
tom_deception_false,false_belief_question,0.8,1.0,0.19999999999999996
ha_bounce,action_question,0.4,0.6,0.19999999999999996
tom_moral_reasoning,emotion_reasoning_question,0.2,0.4,0.2
tom_reality_known,reality_check_question,0.6,0.8,0.20000000000000007
tom_reference_reality,reality_check_question,0.4,0.8,0.4
tom_interpretation_false,false_belief_question,0.0,0.6,0.6
ha_bump,action_question,0.0,0.6,0.6
ha_knock,action_question,0.0,0.6,0.6
