variant,trial_type,gold_letter,pred_letter,count
model,action_question,A,B,1
model,action_question,A,C,4
model,action_question,B,B,1
model,action_question,B,C,7
model,action_question,C,C,2
model,attribution_question,A,B,13
model,attribution_question,B,B,2
model,emotion_reasoning_question,A,A,6
model,emotion_reasoning_question,A,B,1
model,emotion_reasoning_question,B,A,6
model,emotion_reasoning_question,B,B,3
model,emotion_reasoning_question,B,D,1
model,emotion_reasoning_question,C,A,2
model,emotion_reasoning_question,C,B,2
model,emotion_reasoning_question,C,C,3
model,emotion_reasoning_question,D,A,3
model,emotion_reasoning_question,D,B,3
model,emotion_reasoning_question,D,C,3
model,emotion_reasoning_question,D,D,2
model,false_belief_question,A,A,19
model,false_belief_question,A,B,6
model,false_belief_question,A,C,6
model,false_belief_question,B,A,2
model,false_belief_question,B,B,23
model,false_belief_question,B,C,4
model,false_belief_question,C,C,5
model,reality_check_question,A,A,6
model,reality_check_question,A,B,18
model,reality_check_question,A,C,2
model,reality_check_question,B,A,5
model,reality_check_question,B,B,17
model,reality_check_question,C,C,2
model,reference_question,A,B,1
model,reference_question,B,A,1
model,reference_question,B,B,1
model,reference_question,C,B,2
none,action_question,A,C,5
none,action_question,B,A,1
none,action_question,B,C,7
none,action_question,C,C,2
none,attribution_question,A,B,13
none,attribution_question,B,B,2
none,emotion_reasoning_question,A,A,7
none,emotion_reasoning_question,B,A,5
none,emotion_reasoning_question,B,B,5
none,emotion_reasoning_question,C,A,4
none,emotion_reasoning_question,C,B,2
none,emotion_reasoning_question,C,C,1
none,emotion_reasoning_question,D,A,8
none,emotion_reasoning_question,D,B,2
none,emotion_reasoning_question,D,D,1
none,false_belief_question,A,A,23
none,false_belief_question,A,B,8
none,false_belief_question,B,A,6
none,false_belief_question,B,B,23
none,false_belief_question,C,A,2
none,false_belief_question,C,C,3
none,reality_check_question,A,A,7
none,reality_check_question,A,B,19
none,reality_check_question,B,A,5
none,reality_check_question,B,B,17
none,reality_check_question,C,A,2
none,reference_question,A,A,1
none,reference_question,B,A,2
none,reference_question,C,A,2
oracle,action_question,A,A,3
oracle,action_question,A,B,1
oracle,action_question,A,C,1
oracle,action_question,B,A,4
oracle,action_question,B,B,1
oracle,action_question,B,C,3
oracle,action_question,C,A,2
oracle,attribution_question,A,B,13
oracle,attribution_question,B,B,2
oracle,emotion_reasoning_question,A,A,5
oracle,emotion_reasoning_question,A,B,1
oracle,emotion_reasoning_question,A,C,1
oracle,emotion_reasoning_question,B,A,4
oracle,emotion_reasoning_question,B,B,4
oracle,emotion_reasoning_question,B,D,2
oracle,emotion_reasoning_question,C,A,3
oracle,emotion_reasoning_question,C,B,3
oracle,emotion_reasoning_question,C,C,1
oracle,emotion_reasoning_question,D,A,2
oracle,emotion_reasoning_question,D,B,5
oracle,emotion_reasoning_question,D,C,1
oracle,emotion_reasoning_question,D,D,3
oracle,false_belief_question,A,A,22
oracle,false_belief_question,A,B,8
oracle,false_belief_question,A,C,1
oracle,false_belief_question,B,A,5
oracle,false_belief_question,B,B,24
oracle,false_belief_question,C,A,2
oracle,false_belief_question,C,B,3
oracle,reality_check_question,A,A,9
oracle,reality_check_question,A,B,17
oracle,reality_check_question,B,A,7
oracle,reality_check_question,B,B,15
oracle,reality_check_question,C,A,1
oracle,reality_check_question,C,B,1
oracle,reference_question,A,B,1
oracle,reference_question,B,A,1
oracle,reference_question,B,B,1
oracle,reference_question,C,B,2
