family,none_mean,state_model_mean,delta_state_model_minus_none
tom_deception_reality,0.5333333333333333,0.3333333333333333,-0.2
tom_second_order,0.8,0.7,-0.10000000000000009
tom_deception_emotion,0.3,0.2,-0.09999999999999998
tom_reference_emotion,0.5,0.4,-0.09999999999999998
tom_moral_reasoning,0.5428571428571429,0.5428571428571428,-1.1102230246251565e-16
tom_reality_known,0.8,0.8,0.0
tom_reference_reference,0.2,0.2,0.0
tom_interpretation_reality,0.2,0.3,0.09999999999999998
ha_bounce,0.4,0.5,0.09999999999999998
tom_interpretation_emotion,0.8,1.0,0.19999999999999996
tom_deception_false,0.8,1.0,0.19999999999999996
ha_bump,0.0,0.3,0.3
ha_knock,0.0,0.3,0.3
tom_reference_reality,0.4,0.8,0.4
tom_interpretation_false,0.0,0.6,0.6
